name,type,value,date
李宗伟,马来西亚,91773,2016-09-02
谌龙,中国,86984,2016-09-02
林丹,中国,77188,2016-09-02
安赛龙,丹麦,74984,2016-09-02
约根森,丹麦,68202,2016-09-02
田厚威,中国,66060,2016-09-02
周天成,中国台北,65795,2016-09-02
孙完虎,韩国,59234,2016-09-02
苏吉亚托,印尼,58404,2016-09-02
斯里坎特,印度,53886,2016-09-02
李宗伟,马来西亚,91773,2016-09-09
谌龙,中国,86984,2016-09-09
林丹,中国,77188,2016-09-09
安赛龙,丹麦,74984,2016-09-09
约根森,丹麦,68202,2016-09-09
田厚威,中国,66060,2016-09-09
周天成,中国台北,65795,2016-09-09
孙完虎,韩国,59234,2016-09-09
苏吉亚托,印尼,55004,2016-09-09
维汀哈斯,丹麦,51919,2016-09-09
李宗伟,马来西亚,91773,2016-09-16
谌龙,中国,86984,2016-09-16
林丹,中国,74038,2016-09-16
安赛龙,丹麦,70784,2016-09-16
约根森,丹麦,68202,2016-09-16
田厚威,中国,66060,2016-09-16
周天成,中国台北,64415,2016-09-16
孙完虎,韩国,59234,2016-09-16
伍家郎,中国香港,51473,2016-09-16
欧斯夫,英国,51458,2016-09-16
李宗伟,马来西亚,96653,2016-09-23
谌龙,中国,82824,2016-09-23
林丹,中国,74038,2016-09-23
安赛龙,丹麦,72224,2016-09-23
约根森,丹麦,71102,2016-09-23
田厚威,中国,66060,2016-09-23
周天成,中国台北,62315,2016-09-23
孙完虎,韩国,60614,2016-09-23
斯里坎特,印度,52096,2016-09-23
伍家郎,中国香港,51473,2016-09-23
李宗伟,马来西亚,96653,2016-09-30
谌龙,中国,82824,2016-09-30
林丹,中国,74038,2016-09-30
安赛龙,丹麦,72224,2016-09-30
约根森,丹麦,71102,2016-09-30
田厚威,中国,66060,2016-09-30
孙完虎,韩国,64094,2016-09-30
周天成,中国台北,62315,2016-09-30
维汀哈斯,丹麦,53359,2016-09-30
斯里坎特,印度,52096,2016-09-30
李宗伟,马来西亚,96653,2016-10-07
谌龙,中国,82824,2016-10-07
林丹,中国,74038,2016-10-07
安赛龙,丹麦,72224,2016-10-07
约根森,丹麦,71102,2016-10-07
田厚威,中国,66060,2016-10-07
孙完虎,韩国,64094,2016-10-07
周天成,中国台北,62315,2016-10-07
维汀哈斯,丹麦,53359,2016-10-07
斯里坎特,印度,52096,2016-10-07
李宗伟,马来西亚,96653,2016-10-14
谌龙,中国,82824,2016-10-14
林丹,中国,74038,2016-10-14
安赛龙,丹麦,72224,2016-10-14
约根森,丹麦,71102,2016-10-14
田厚威,中国,66060,2016-10-14
孙完虎,韩国,64094,2016-10-14
周天成,中国台北,62315,2016-10-14
维汀哈斯,丹麦,53359,2016-10-14
斯里坎特,印度,52096,2016-10-14
李宗伟,马来西亚,96653,2016-10-21
谌龙,中国,76864,2016-10-21
林丹,中国,72308,2016-10-21
约根森,丹麦,69952,2016-10-21
安赛龙,丹麦,68844,2016-10-21
孙完虎,韩国,68544,2016-10-21
田厚威,中国,66060,2016-10-21
周天成,中国台北,58935,2016-10-21
坦农萨克,泰国,52606,2016-10-21
欧斯夫,英国,52178,2016-10-21
李宗伟,马来西亚,93503,2016-10-28
谌龙,中国,76864,2016-10-28
林丹,中国,72308,2016-10-28
安赛龙,丹麦,68844,2016-10-28
孙完虎,韩国,68684,2016-10-28
约根森,丹麦,68572,2016-10-28
田厚威,中国,66060,2016-10-28
周天成,中国台北,56175,2016-10-28
李炫一,韩国,55650,2016-10-28
伍家郎,中国香港,53323,2016-10-28
李宗伟,马来西亚,93503,2016-11-04
谌龙,中国,76864,2016-11-04
林丹,中国,72308,2016-11-04
安赛龙,丹麦,68844,2016-11-04
孙完虎,韩国,68684,2016-11-04
约根森,丹麦,68572,2016-11-04
田厚威,中国,66060,2016-11-04
周天成,中国台北,56175,2016-11-04
李炫一,韩国,55650,2016-11-04
石宇奇,中国,54530,2016-11-04
李宗伟,马来西亚,93503,2016-11-11
谌龙,中国,76864,2016-11-11
林丹,中国,72308,2016-11-11
安赛龙,丹麦,68844,2016-11-11
孙完虎,韩国,68684,2016-11-11
约根森,丹麦,68572,2016-11-11
田厚威,中国,66060,2016-11-11
周天成,中国台北,56175,2016-11-11
石宇奇,中国,54530,2016-11-11
坦农萨克,泰国,52606,2016-11-11
李宗伟,马来西亚,86103,2016-11-18
谌龙,中国,76864,2016-11-18
约根森,丹麦,73522,2016-11-18
安赛龙,丹麦,70494,2016-11-18
林丹,中国,68208,2016-11-18
田厚威,中国,67070,2016-11-18
孙完虎,韩国,65884,2016-11-18
周天成,中国台北,56175,2016-11-18
石宇奇,中国,52800,2016-11-18
坦农萨克,泰国,52606,2016-11-18
李宗伟,马来西亚,79563,2016-11-25
谌龙,中国,76144,2016-11-25
约根森,丹麦,75042,2016-11-25
安赛龙,丹麦,70494,2016-11-25
林丹,中国,68208,2016-11-25
孙完虎,韩国,65884,2016-11-25
田厚威,中国,64310,2016-11-25
周天成,中国台北,54985,2016-11-25
伍家郎,中国香港,52953,2016-11-25
石宇奇,中国,52800,2016-11-25
李宗伟,马来西亚,79563,2016-12-02
谌龙,中国,76144,2016-12-02
约根森,丹麦,75042,2016-12-02
安赛龙,丹麦,70494,2016-12-02
林丹,中国,68208,2016-12-02
孙完虎,韩国,65884,2016-12-02
田厚威,中国,62680,2016-12-02
周天成,中国台北,57085,2016-12-02
伍家郎,中国香港,52953,2016-12-02
石宇奇,中国,52800,2016-12-02
李宗伟,马来西亚,79563,2016-12-09
谌龙,中国,76144,2016-12-09
约根森,丹麦,75042,2016-12-09
安赛龙,丹麦,70494,2016-12-09
林丹,中国,68208,2016-12-09
孙完虎,韩国,67984,2016-12-09
田厚威,中国,62680,2016-12-09
周天成,中国台北,57085,2016-12-09
伍家郎,中国香港,52953,2016-12-09
石宇奇,中国,52800,2016-12-09
李宗伟,马来西亚,82953,2016-12-16
约根森,丹麦,75042,2016-12-16
安赛龙,丹麦,72144,2016-12-16
孙完虎,韩国,70784,2016-12-16
谌龙,中国,68444,2016-12-16
林丹,中国,68208,2016-12-16
田厚威,中国,65980,2016-12-16
周天成,中国台北,54885,2016-12-16
伍家郎,中国香港,53423,2016-12-16
石宇奇,中国,52800,2016-12-16
李宗伟,马来西亚,82953,2016-12-23
约根森,丹麦,75042,2016-12-23
安赛龙,丹麦,72144,2016-12-23
孙完虎,韩国,70784,2016-12-23
谌龙,中国,68444,2016-12-23
林丹,中国,68208,2016-12-23
田厚威,中国,65980,2016-12-23
周天成,中国台北,54885,2016-12-23
伍家郎,中国香港,53423,2016-12-23
石宇奇,中国,52800,2016-12-23
李宗伟,马来西亚,82953,2017-01-06
约根森,丹麦,75042,2017-01-06
安赛龙,丹麦,72144,2017-01-06
孙完虎,韩国,70784,2017-01-06
谌龙,中国,68444,2017-01-06
林丹,中国,68208,2017-01-06
田厚威,中国,65980,2017-01-06
周天成,中国台北,54885,2017-01-06
伍家郎,中国香港,53423,2017-01-06
石宇奇,中国,52800,2017-01-06
李宗伟,马来西亚,82953,2017-01-13
约根森,丹麦,75042,2017-01-13
安赛龙,丹麦,72144,2017-01-13
孙完虎,韩国,70784,2017-01-13
谌龙,中国,68444,2017-01-13
林丹,中国,68208,2017-01-13
田厚威,中国,65980,2017-01-13
周天成,中国台北,54885,2017-01-13
伍家郎,中国香港,53423,2017-01-13
石宇奇,中国,52800,2017-01-13
李宗伟,马来西亚,82953,2017-01-20
约根森,丹麦,75042,2017-01-20
安赛龙,丹麦,72144,2017-01-20
孙完虎,韩国,70784,2017-01-20
谌龙,中国,68444,2017-01-20
林丹,中国,68208,2017-01-20
田厚威,中国,65980,2017-01-20
周天成,中国台北,54885,2017-01-20
伍家郎,中国香港,53423,2017-01-20
石宇奇,中国,52800,2017-01-20
李宗伟,马来西亚,78613,2017-01-27
约根森,丹麦,75042,2017-01-27
安赛龙,丹麦,72144,2017-01-27
孙完虎,韩国,70784,2017-01-27
谌龙,中国,68444,2017-01-27
林丹,中国,68208,2017-01-27
田厚威,中国,65980,2017-01-27
伍家郎,中国香港,56573,2017-01-27
周天成,中国台北,54885,2017-01-27
李炫一,韩国,53030,2017-01-27
李宗伟,马来西亚,78613,2017-02-03
约根森,丹麦,75042,2017-02-03
安赛龙,丹麦,72144,2017-02-03
孙完虎,韩国,70784,2017-02-03
谌龙,中国,68444,2017-02-03
林丹,中国,68208,2017-02-03
田厚威,中国,65980,2017-02-03
伍家郎,中国香港,56573,2017-02-03
周天成,中国台北,54885,2017-02-03
李炫一,韩国,53030,2017-02-03
李宗伟,马来西亚,78613,2017-02-10
约根森,丹麦,75042,2017-02-10
安赛龙,丹麦,72144,2017-02-10
孙完虎,韩国,70784,2017-02-10
谌龙,中国,68444,2017-02-10
