name,type,value,date
马琳,西班牙,83680,2016-09-02
李雪芮,中国,81014,2016-09-02
奥原希望,日本,78227,2016-09-02
王仪涵,中国,77934,2016-09-02
因达农,泰国,76904,2016-09-02
王适娴,中国,71754,2016-09-02
戴资颖,中国台北,71291,2016-09-02
成池铉,韩国,71056,2016-09-02
内维尔,印度,70209,2016-09-02
辛德胡,印度,63099,2016-09-02
马琳,西班牙,83680,2016-09-09
李雪芮,中国,81014,2016-09-09
奥原希望,日本,78227,2016-09-09
王仪涵,中国,77934,2016-09-09
因达农,泰国,76904,2016-09-09
王适娴,中国,71754,2016-09-09
戴资颖,中国台北,71291,2016-09-09
成池铉,韩国,71056,2016-09-09
内维尔,印度,70209,2016-09-09
辛德胡,印度,63099,2016-09-09
马琳,西班牙,83680,2016-09-16
李雪芮,中国,81014,2016-09-16
王仪涵,中国,77934,2016-09-16
因达农,泰国,76904,2016-09-16
奥原希望,日本,74067,2016-09-16
王适娴,中国,71284,2016-09-16
成池铉,韩国,71056,2016-09-16
内维尔,印度,70209,2016-09-16
戴资颖,中国台北,69911,2016-09-16
辛德胡,印度,63099,2016-09-16
马琳,西班牙,83680,2016-09-23
李雪芮,中国,81014,2016-09-23
因达农,泰国,76904,2016-09-23
奥原希望,日本,74067,2016-09-23
内维尔,印度,70209,2016-09-23
戴资颖,中国台北,69911,2016-09-23
成池铉,韩国,66896,2016-09-23
辛德胡,印度,63099,2016-09-23
孙瑜,中国,62922,2016-09-23
山口茜,日本,56249,2016-09-23
马琳,西班牙,83680,2016-09-30
李雪芮,中国,81014,2016-09-30
因达农,泰国,76904,2016-09-30
奥原希望,日本,74067,2016-09-30
内维尔,印度,70209,2016-09-30
戴资颖,中国台北,69911,2016-09-30
成池铉,韩国,69656,2016-09-30
辛德胡,印度,63099,2016-09-30
孙瑜,中国,62922,2016-09-30
山口茜,日本,61129,2016-09-30
马琳,西班牙,83680,2016-10-07
李雪芮,中国,81014,2016-10-07
因达农,泰国,76904,2016-10-07
奥原希望,日本,74067,2016-10-07
内维尔,印度,70209,2016-10-07
戴资颖,中国台北,69911,2016-10-07
成池铉,韩国,67696,2016-10-07
辛德胡,印度,63099,2016-10-07
孙瑜,中国,61872,2016-10-07
山口茜,日本,61129,2016-10-07
马琳,西班牙,83680,2016-10-14
李雪芮,中国,81014,2016-10-14
因达农,泰国,76904,2016-10-14
奥原希望,日本,74067,2016-10-14
内维尔,印度,70209,2016-10-14
戴资颖,中国台北,69911,2016-10-14
成池铉,韩国,67696,2016-10-14
辛德胡,印度,63099,2016-10-14
孙瑜,中国,61872,2016-10-14
山口茜,日本,61129,2016-10-14
马琳,西班牙,83680,2016-10-21
因达农,泰国,76904,2016-10-21
奥原希望,日本,75077,2016-10-21
李雪芮,中国,75054,2016-10-21
戴资颖,中国台北,74221,2016-10-21
内维尔,印度,70209,2016-10-21
山口茜,日本,67809,2016-10-21
成池铉,韩国,66046,2016-10-21
孙瑜,中国,64072,2016-10-21
辛德胡,印度,58069,2016-10-21
马琳,西班牙,80530,2016-10-28
因达农,泰国,75524,2016-10-28
奥原希望,日本,75077,2016-10-28
李雪芮,中国,74334,2016-10-28
戴资颖,中国台北,72841,2016-10-28
内维尔,印度,70069,2016-10-28
山口茜,日本,67949,2016-10-28
成池铉,韩国,67426,2016-10-28
孙瑜,中国,65592,2016-10-28
何冰娇,中国,59451,2016-10-28
马琳,西班牙,80530,2016-11-04
因达农,泰国,75524,2016-11-04
奥原希望,日本,75077,2016-11-04
李雪芮,中国,74334,2016-11-04
戴资颖,中国台北,72841,2016-11-04
内维尔,印度,70069,2016-11-04
成池铉,韩国,67426,2016-11-04
山口茜,日本,65849,2016-11-04
孙瑜,中国,65592,2016-11-04
何冰娇,中国,62601,2016-11-04
马琳,西班牙,80530,2016-11-11
因达农,泰国,75524,2016-11-11
奥原希望,日本,75077,2016-11-11
李雪芮,中国,74334,2016-11-11
戴资颖,中国台北,72841,2016-11-11
内维尔,印度,70069,2016-11-11
成池铉,韩国,67426,2016-11-11
山口茜,日本,65849,2016-11-11
孙瑜,中国,64542,2016-11-11
何冰娇,中国,62601,2016-11-11
马琳,西班牙,80530,2016-11-18
因达农,泰国,75524,2016-11-18
戴资颖,中国台北,74491,2016-11-18
奥原希望,日本,73927,2016-11-18
成池铉,韩国,69076,2016-11-18
孙瑜,中国,68992,2016-11-18
李雪芮,中国,67654,2016-11-18
山口茜,日本,66999,2016-11-18
辛德胡,印度,64749,2016-11-18
何冰娇,中国,64331,2016-11-18
戴资颖,中国台北,78651,2016-11-25
马琳,西班牙,77750,2016-11-25
因达农,泰国,73904,2016-11-25
奥原希望,日本,70447,2016-11-25
成池铉,韩国,69076,2016-11-25
孙瑜,中国,68992,2016-11-25
辛德胡,印度,68699,2016-11-25
李雪芮,中国,67654,2016-11-25
山口茜,日本,67139,2016-11-25
内维尔,印度,65759,2016-11-25
戴资颖,中国台北,78651,2016-12-02
马琳,西班牙,77750,2016-12-02
因达农,泰国,73904,2016-12-02
奥原希望,日本,70447,2016-12-02
成池铉,韩国,69076,2016-12-02
孙瑜,中国,68992,2016-12-02
李雪芮,中国,67654,2016-12-02
山口茜,日本,67139,2016-12-02
内维尔,印度,65759,2016-12-02
辛德胡,印度,65549,2016-12-02
戴资颖,中国台北,78651,2016-12-09
马琳,西班牙,77750,2016-12-09
因达农,泰国,73904,2016-12-09
奥原希望,日本,70447,2016-12-09
成池铉,韩国,70026,2016-12-09
孙瑜,中国,68992,2016-12-09
李雪芮,中国,67654,2016-12-09
山口茜,日本,67139,2016-12-09
内维尔,印度,65759,2016-12-09
辛德胡,印度,65549,2016-12-09
戴资颖,中国台北,84611,2016-12-16
