name,type,value,date
李龙大&柳延星,韩国,94079,2016-07-07
塞蒂亚万&阿山,印尼,72720,2016-07-07
金基正&金沙朗,韩国,72487,2016-07-07
傅海峰&张楠,中国,70265,2016-07-07
柴飚&洪炜,中国,68780,2016-07-07
鲍伊&摩根森,丹麦,66554,2016-07-07
高成炫&申白喆,韩国,65243,2016-07-07
远藤大由&早川贤一,日本,65177,2016-07-07
彼德森&科丁,丹麦,64093,2016-07-07
普拉塔玛&苏华迪,印尼,60239,2016-07-07
费尔纳迪&苏卡穆约,印尼,60211,2016-07-07
吴蔚昇&陈蔚强,马来西亚,58197,2016-07-07
索松诺夫&伊万诺夫,俄罗斯,58073,2016-07-07
李俊慧&刘雨辰,中国,56789,2016-07-07
嘉村健士&园田启悟,日本,54322,2016-07-07
李龙大&柳延星,韩国,94079,2016-07-14
塞蒂亚万&阿山,印尼,72720,2016-07-14
金基正&金沙朗,韩国,72487,2016-07-14
傅海峰&张楠,中国,70265,2016-07-14
柴飚&洪炜,中国,68780,2016-07-14
鲍伊&摩根森,丹麦,66554,2016-07-14
高成炫&申白喆,韩国,65243,2016-07-14
远藤大由&早川贤一,日本,65177,2016-07-14
彼德森&科丁,丹麦,64093,2016-07-14
普拉塔玛&苏华迪,印尼,60239,2016-07-14
费尔纳迪&苏卡穆约,印尼,60211,2016-07-14
吴蔚昇&陈蔚强,马来西亚,58197,2016-07-14
索松诺夫&伊万诺夫,俄罗斯,58073,2016-07-14
李俊慧&刘雨辰,中国,56789,2016-07-14
嘉村健士&园田启悟,日本,54322,2016-07-14
李龙大&柳延星,韩国,94079,2016-07-21
塞蒂亚万&阿山,印尼,72720,2016-07-21
金基正&金沙朗,韩国,72487,2016-07-21
傅海峰&张楠,中国,70265,2016-07-21
柴飚&洪炜,中国,68780,2016-07-21
鲍伊&摩根森,丹麦,66554,2016-07-21
高成炫&申白喆,韩国,65243,2016-07-21
远藤大由&早川贤一,日本,65177,2016-07-21
